Factorisations Of Cunningham Numbers C-(3,n) = 3^n - 1

Canonical Representation Of Factorisations

1. Factorisations are given from smallest to largest factor, with a period '.'
   separating factors.
2. Multiplicity of factors is indicated with the carat '^' in ascii tradition
   for the text version of the tables but not the HTML version.
3. The backslash '\' is used to indicate continuation of a line, the decimal
   digit representation of the number does not stop but continues on the next
   line as if no break had occured. This can sometimes make for bad breaks, but
   such is life.

Notation Used In The Tables

1. #Fac is the number of (non distinct) prime factors in an expression.
2. A plussed #Fac means that more prime factors exist but they are unknown due
   to an unfactored composite in the expression.

========================================================================================================================

   n  #Fac  Factorisation
 170    16  2^3.11^2.61.103.307.1021.1531.1871.34511.224401.2663568851051.862970652262943171.13271362257832586268931
 171    10  2.13.229.757.1597.119701.248749.363889.1824179209.27203787889921135221329070240968055313746007669
 172    13  2^4.5.173.431.470593.2641485701.55473422113.903239908009.380808546861411923.82064241848634269407
 173     5  2.347.762239.2125048865543.30985428700388045508959018054392810762033149280306907746766819
 174    19  2^3.7.13.59.349.523.6091.28537.74821.142159.261697.1383301.5385997.20381027.32234893.37464463.1502241239758\
            57
 175    11  2.11^2.71.1093.8951.109201.391151.2664097031.1430128198787051.11459299580388289258664119605215721251
 176    22  2^6.5.17.23.41.67.89.193.661.3851.5501.570461.2382953.6922081.56625998353.15656839738849.1363620137403810529
 177     7  2.13.709.14425532687.489769993189671059.2224898159852613649.9736622508037946817946068730077829
 178     9  2^3.179.264331.1125706177.1611479891519807.5042939439565996049162197.2444322641415331355533344283
 179     8  2.359.56207.100957.19510643.291066066130451.6779963644378513811.161868664744491655705858963594331
 180    28  2^4.5^2.7.11^2.13.19.31.37.61.73.181.271.757.1181.1621.4561.176401.387631.530713.755551.927001.47763361.452\
            808441334403281
 181     4  2.90863.890159.1412740676235815729693013611798695493926336144083867368022228212267580445753
 182    13  2^3.547.1093.8737.398581.595141.797161.4011586307.2354116499281.2452788561133.3745603812007166116831643
 183     8  2.13.733.603901.97806913.2421854958301.105293313660391861035901.7165195867462155138286987098273769
 184    14  2^5.5.41.47.1289.12553493.1001523179.23535794707.70601370627701.743170846305411756447828504941347481129
 185    13  2.11^2.2221.17761.35521.146891.13097927.228082801.17189128703.49804972211.87841814842081.1654235911196704741
 186    16  2^3.7.13.373.683.1117.6883.102673.541447.3058399.4404047.22434744889.88239050462461.26273701844015319144827\
            917
 187     9  2.23.1871.3851.6359.34511.1272753542934479.3411926755457243.527447346649058852221083363397206345775307
 188    14  2^4.5.1223.16921.21997.256057.5112661.96656723.563838649753.1534179947851.125384283132205265785477849439329
 189    11  2.13.109.433.757.1093.8209.368089.144542918285300809.49888641454623789553.67775349707440873247475442867753
 190    15  2^3.11^2.61.191.1597.2851.39901.101917.363889.29574984661.25349956307509384561.7895808769460932143966013189\
            9631
 191     5  2.383.311713.9593931911.5890868591760365434332005074929710400548909181468214858888800348369500317
 192    27  2^8.5.7.13.17.41.73.97.193.577.769.6481.7297.68737.76801.21523361.96948097.24127552321.70613232600577.92651\
            0094425921
 193     6  2.6563.29723.2346066378779.218246094772601642186973037.607981469094652492202396647678317419649770543
 194     9  2^3.76631.459991849.503803759819.2549755542947.20591603926857377806745611.48845962828028421155731228333
 195    16  2.11^2.13^2.131.313.2341.4561.6553.7333.797161.3701101.39838501.110133112994711.981399299397489772089945543\
            31725481
 196    21  2^4.5.29.197.491.547.1093.4019.8233.16493.16661.51157.131713.251325313.857643277.127522693159.426712077457.
            34013149495921
 197     5  2.9851.741019334164502879.11472574961994477441469621.58733573000937067164211172290216978734891718609
 198    22  2^3.7.13.19.23.37.67.199.397.661.757.3851.4357.25411.176419.3186217.337448233.2413941289.378450588583.12812\
            432238302009985937
 199     4  2.1360648969.293366430131930353811221418233.110902970953020998760372036298330712066931713186888935429
 200    24  2^5.5^3.11^2.41.61.101.151.1181.8951.133201.391151.394201.22996651.42521761.18055139801.61070817601.6145992\
            6512826500975801
 201     7  2.13.221101.1089421.441019876741.475384700124973.606888680894320302113812772385855126907748678398622467309
 202     8  2^3.379963.33034273.465092326319.50316775668019759306202964023.1017291527198723292208309354658785077827527
 203     8  2.59.1093.2843.28537.735673.20381027.45710553733635551271263934571653147487690442652554544220310250384660059
 204    23  2^4.5.7.13.73.103.307.409.613.1021.1871.12853.30091.34511.956353.49637281.129159847.1743831169.99810171997.
            187668407555352123529
 205     9  2.11^2.83.6971.31981.2526913.86950696619.656014262570688827408083292697668196087284247240671872421177502707\
            51
 206     7  2^3.619.3661040653.1535090713229126909942383374434289901.6957596529882152968992225251835887181478451547013
 207    11  2.13.47.277.757.829.1657.4969.1001523179.2461243576713869557.1347383535369337305525136183495059997240461761\
            85208477
 208    20  2^6.5.17.41.53.193.1249.13729.398581.797161.475356961.2093124281.4795973261.37644053098601.7804643378464442\
            96785447886881
 209    10  2.23.419.1597.2927.3851.363889.99381983898121.340838185560681043030809047.122248739643995179286707888399612\
            5166979
 210    29  2^3.7^2.11^2.13.31.43.61.71.211.271.421.547.1051.1093.2269.4561.6301.24151.368089.1616161.3369031.3454081.2\
            664097031.26751945361.374857981681
 211     7  2.2111.962188370639.54046656969013.5676687374958905209.1695949409060064182746451.22260233052088235975354234\
            411
 212    14  2^4.5.107.24169.90313.78719947.609422621.1481588501.61557605176233223.3747607031112307667.46074068338167202\
            1327601001
 213     8  2.13.5113.22716867932413.115264393627813.3613512804721129.89665588664737776553.3754733257489862401973357979\
            128773
 214     9  2^3.643.50077.100153.229837.48965028505045123993421250406516036571557.4375617272295428356111030724847180250\
            451293
 215     8  2.11^2.431.8477881.380808546861411923.14491125481091320910774351.781053905037712555192394595228515676273221\
            687831
 216    27  2^5.5.7.13.19.37.41.73.109.433.757.2161.6481.8209.15121.19441.19927.530713.10512289.16569793.282429005041.3\
            958044610033.150094634909578633
 217     9  2.683.1093.20399.102673.4404047.24040333283.20545698698839917414079969.504269775789719758393777449699911933\
            5532852173
 218    12  2^3.1091.521402591.1992772009.3499901929.239789806103.5933538193981.7696680097963.27866471458012723.1062434\
            6875389299603
 219     8  2.13.11243.20149.135781.15768033143.9460375336977361.258774116153542520477136397676307225479257542351427792\
            4289333901
 220    23  2^4.5^2.11^3.23.61.67.661.1181.1321.3851.5501.177101.570461.659671.24472341743191.560088668384411.927319729\
            649066047885192700193701
 221     6  2.443.1871.34511.797161.60923689584342791398642907184808386306560206807547243570697195224906504237067588551\
            869427
 222    17  2^3.7.13.223.18427.107671.13097927.18702169.25709599.56737873.78539161.119779213.17189128703.64326272436179\
            833.6962353413269964253
 223     3  2.54473097204950819531444809.229523806583019160757328140035039965995090154366780957756461054952218263816107\
            757
 224    28  2^7.5.17.29.41.113.193.547.1093.14561.16493.19489.45697.101921.430697.643553.647753.21523361.67765601.37836\
            9377.5685756833.36214795668330833
 225    19  2.11^2.13.181.601.757.1621.4561.8951.9601.116101.391151.875701.927001.2098303812601.286870274711101.5150092\
            59868501.119634969443826601
 226    10  2^3.227.1583.362053.2172539.156472231.3626038130651680583578933430931295416667.5262564530120639807961311273\
            21354599535039
 227     4  2.19907051929.86695423725589885803695742296342497463.586802158643368690388409871761484798763798234696414454\
            735059
 228    24  2^4.5.7.13.73.229.457.1597.2281.2851.3079.7753.53923.101917.248749.363889.5301533.1162320517.1824179209.254\
            80398173.3093009324389492947932121
 229     6  2.8047106008391.32356561399076305309.284663996630519253661.634538541879036040523.19379595225195699303342899\
            0650021813
 230    15  2^3.11^2.47.61.6211.48991.1975931.1001523179.23535794707.6273542442241.52370346649565455417091.423202052783\
            1352569905247101633701
 231    13  2.13.23.1093.3697.3851.368089.51457561.2413941289.7151459701.73155606217.76831835389.9592974016403852681107\
            579746773665955769529
 232    18  2^5.5.41.59.233.523.4177.6091.12413.28537.5385997.20381027.37945127666529000523013.277991360381003661564752\
            468378981135693842991081
 233     6  2.467.27599172691870182517.6354979252162209284471.38247482016765032274959.235663554277284144371286817356030\
            779989411991
 234    27  2^3.7.13^2.19.37.79.157.313.757.937.1171.2887.6553.7333.10141.37441.398581.797161.2161927.4162861.43264261.
            1846794457.6079786129.2821964307371847613
 235    12  2.11^2.1223.5171.21997.5112661.11321831.96656723.1287586151.30168205545535224185322498361.18163248970991966\
            93903839041516429235091
 236    10  2^4.5.3187.14425532687.489769993189671059.1108439448677340328268341.199667811101603467823686647723289448859\
            05284750420567849
 237     8  2.13.37520893.432853009.392038110671.145171177264407947.52802131282482966001751707837.942519349339044304053\
            53683133566414129
 238    15  2^3.103.239.307.547.1021.1093.1871.34511.7719769.44626806191326911791.397881837642577477902049.109844001815\
            2695917905622020432593239209
 239     5  2.479.17209.43301964055635533333945745533106128044213.15078256924371336719599813889355649857775560634720745\
            60073441273431
 240    35  2^6.5^2.7.11^2.13.17.31.41.61.73.97.193.241.271.577.769.1181.4561.4801.6481.13921.14401.298801.26050081.425\
            21761.47763361.128653413121.51383579021948491809121
 241     3  2.553788718707122198751861425724478919.87467816937592208369605795743215156515970801809891315499467981099756\
            86695403479
 242    14  2^3.23.67.661.727.2179.3851.11617.74779.3981923614021.657890411545272648205502849240259841.2569000999944363\
            77787031292704214632407889
 243    13  2.13.109.433.757.3889.8209.70957.1190701.6627097.12557612956332313.21835473162448454819220238921.1914970483\
            5029612299033896988868835457
 244    13  2^4.5.367.180317.603901.262199473.39504363995133913.105293313660391861035901.86630432442539925437931403.865\
            923475887669700104067517
 245    13  2.11^2.71.491.1093.4019.8233.32341.51157.131713.2664097031.443015297753685907218113465749323364908924571474\
            7389001639572141363110009421
 246    16  2^3.7.13.83.33703.51169.2337001.2526913.40049539.86950696619.130099576237.15606752580607.270547105429567.19\
            99827817517387044561568810795329
 247     8  2.1597.14327.363889.797161.50427403417.85336889516918333646696709.12363497831617033613733078856234324783560\
            5751304272686452015331
 248    17  2^5.5.41.683.6883.102673.4404047.1403808961.2860659169.9500438809.22434744889.81516726600079249.21775844224\
            805408923066692226998392022049
 249     8  2.13.167.12119.1036745531.35882730354181.950996059627210897943351.34142824805895306910049388733099885392736\
            741124752323542369498869
 250    18  2^3.11^2.61.151.251.2251.8951.100501.391151.22996651.358291751.14781691751.391632555001.989947158849251.227\
            8135721427929786778229917312351656251
 251     4  2.503.5894996162509148852365257446042626007.964613703261404801372757425945901028753310314718072563935662862\
            96975030226677613
 252    30  2^4.5.7^2.13.19.29.37.43.73.127.547.757.883.1093.2269.2521.2857.16493.368089.530713.1180369.109688713.55055\
            4229.475110761833.40226570408250073.144542918285300809
 253     8  2.23^2.47.3851.1001523179.38636905168680714294388463.694795605450302885931482069023906496640308871072578393\
            444435496767723247212161
 254    12  2^3.5843.22861.63247.681229.21520151.52147471.76082653.301515315752300874236564235591357673.130307962065285\
            78864006320088875125740738871
 255    12  2.11^2.13.1871.4561.12853.34511.99810171997.2663568851051.862970652262943171.169601842612452117701245514777\
            92778196298722974881637673135361
 256    22  2^10.5.17.41.193.257.275201.21523361.138424618868737.926510094425921.3913786281514524929.153849834853910661\
            121.1716841910146256242328924544641
 257     4  2.120277.1329772662933524112502310453951741137.130368443217722004093122850392452227578385515253269924344565\
            4450720942101263148269
 258    16  2^3.7.13.431.1549.4129.27091.1651439941.2199072289.28395735937.7822354593043.380808546861411923.82064241848\
            634269407.912851565662857110894244969
 259     7  2.1093.2591.18131.13097927.17189128703.16233389716589437421950208471182073821734206041595388899782318875542\
            1387607705331738999130859381
 260    20  2^4.5^2.11^2.53.61.131.1181.398581.797161.3701101.4795973261.82669546937641.110133112994711.105919308797935\
            444986721.85515537811724373585467087637721
 261    10  2.13.59.757.28537.74821.20381027.32234893.150224123975857.1380392025518868110516563790005953791144109700543\
            65084709582198180836351736189201
 262     8  2^3.263.787.114742271896804438572098194909.881304930739946561320646289889.605199588591144003100881306574406\
            851660288427740394885828171
 263     8  2.53653.78901.2750510656513.65397307474141.153572905037740933.352436749324038579121.36882002347445681820504\
            01066389522755138234431221709
 264    27  2^5.5.7.13.23.41.67.73.89.661.3851.5501.6481.25411.176419.570461.660001.2382953.2413941289.11096576833.5662\
            5998353.13490012358249728401.20431242370346923068097
 265    10  2.11^2.107.3181.24169.3747607031112307667.18474777940736174884324451.3449313707942322494318140511.575499618\
            0616545478239088262898984180906601
 266    15  2^3.547.1093.1597.2851.11173.101917.363889.1084483.1256610601.8757948941961838067.2575137762431568263792799\
            29309507.295966423763788589324732476512991
 267     8  2.13.179.850666273.1611479891519807.5042939439565996049162197.2270061722000879968839976583683542421.3371654\
            83055999474909532425685921831037
 268    17  2^4.5.269.1609.1877.11257.221101.5390821.50546266229.441019876741.475384700124973.719571227339189.258398506\
            8397606535128513.4299412981246169975118907
 269     7  2.10223.262007.116075653.76305384036997.299470647963251.155971657868076766919202916256419109389740719079583\
            16973148155921390236953578833891
 270    33  2^3.7.11^2.13.19.31.37.61.109.181.271.433.541.757.1621.3511.4561.4591.8209.19441.19927.387631.451441.487891.
            755551.927001.53825041.73321201.86548771.773618132427345151923061
 271     6  2.3253.8916443.490543245624181.2709600825365281117.25868527977712808361978066658579889576559130208360024345\
            084977414463027844372456066131
 272    25  2^6.5.17^2.41.103.137.193.307.1021.1871.34511.956353.5641553.23229617.1743831169.6458150122561.383356441650\
            4313.2670091735108484737.1981703105982814843334309489
 273    15  2.13^2.313.1093.6553.7333.30577.368089.797161.4011586307.1636991658121.2148920356182437964673.3745603812007\
            166116831643.6812412941375622618779314907881
 274     8  2^3.4933.217629707.82093596209179.706712258201940254667826642673008768387229115048379.108081809773839995188\
            256800499141543684393035450350551
 275    12  2.11^3.23.1321.3851.8951.391151.560088668384411.121083372541491664042201.2184618099425061500147268880843478\
            755794738604041083109375948881000595001
 276    21  2^4.5.7.13.47.73.139.277.5107.9109.132619.1476463.12553493.1001523179.23535794707.70601370627701.2461243576\
            713869557.1076050302914923449767311155851656076154481
 277     4  2.15801743.478803193369.96093835737198987630852488215668046851137095982583744906497662037435603571748141245\
            792156421257518028298294596143
 278     9  2^3.1669.5430731.26436515641.1113626506203380968993.17735794220172313692220944999595159.1152152011115465383\
            17696820901417129607616709798043944747
 279     9  2.13.683.757.1117.102673.4404047.26273701844015319144827917.73359691843377278752103317712455408871941453709\
            380600726770643232683599826872817565929
 280    29  2^5.5^2.11^2.29.41.61.71.281.547.1093.1181.16493.18481.430697.647753.28596961.32839661.42521761.94373861.26\
            64097031.374857981681.369879560116990841.3353336738929580410561
 281    11  2.563.3373.422063.434989.1000081249.38012519036699.124205327610431.543615007915184215523.239721223634467649\
